"1","2","10","S, O, I, X, H, P, D","2932","[ASH]
A[1] S[1] H[12] * 1 = 14","null, (x, y): = (10, 9), (x, y): = (10, 10)","14","false",
"[ASH]
A[1] S[1] H[12] * 1 = 14","null, (x, y): = (10, 9), (x, y): = (10, 10)","14","false",
"[ACT]
A[1] C[3] T[3] * 1 = 7","null, (x, y): = (10, 9), (x, y): = (10, 10)","7","false",
"[TIGERISH]
T[1] I[1] G[1] E[1] R[1] I[1] S[1] H[4] * 2 = 22","null, (x, y): = (5, 12), (x, y): = (5, 13), (x, y): = (5, 14)","22","false",
"[GIVE]
G[6] I[1] V[4] E[1] * 1 = 12","null, (x, y): = (2, 10), (x, y): = (3, 10), (x, y): = (4, 10)","12","false",
"[RIZ]
R[1] I[1] Z[10] * 1 = 12","null, (x, y): = (8, 14), (x, y): = (9, 14)","12","false",
"[AMP]
A[1] M[3] P[9] * 1 = 13","null, (x, y): = (10, 9), (x, y): = (10, 10)","13","false",
"[AFF]
A[1] F[4] F[12] * 1 = 17","null, (x, y): = (10, 9), (x, y): = (10, 10)","17","false",
