"1","2","10","2275","Duration(millisec)","[AUF]
A[1] U[1] F[12] * 1 = 14","null, (x, y): = (10, 9), (x, y): = (10, 10)","14","false",
"[AUF]
A[1] U[1] F[12] * 1 = 14","null, (x, y): = (10, 9), (x, y): = (10, 10)","14","false",
"[GRR]
G[2] R[3] R[1] * 1 = 6","null, (x, y): = (5, 14), (x, y): = (6, 14)","6","false",
"[BUTE]
B[9] U[1] T[1] E[1] * 1 = 12","null, (x, y): = (2, 10), (x, y): = (3, 10), (x, y): = (4, 10)","12","false",
"[ERS]
E[2] R[1] S[2] * 1 = 5","null, (x, y): = (8, 13), (x, y): = (9, 13)","5","false",
"[CARACK]
C[3] A[1] R[1] A[1] C[1] K[1] * 2 = 16","null, (x, y): = (3, 11), (x, y): = (4, 11)","16","false",
"[STRACK]
S[1] T[1] R[1] A[1] C[1] K[1] * 2 = 12","null, (x, y): = (3, 11), (x, y): = (4, 11)","12","false",
